en-US	cs-cz	da-dk	de-at	de-ch	de-de	en-au	en-ca	en-gb	en-nz	es-es_tradnl	es-mx	fi-fi	fr-be	fr-ca	fr-ch	fr-fr	is-is	it-ch	it-it	nb-no	nl-be	nl-nl	sv-se	Description
Bank Deposit	Bankovní vklad	Bankindskud	Bankeinzahlung	Bankeinzahlung	Bankeinzahlung	Bank Deposit	Bank Deposit	Bank Deposit	Bank Deposit	Depósito bancario	Depósito bancario	Pankkitalletus	Dépôt bancaire	Dépôt bancaire	Dépôt bancaire	Dépôt bancaire	Innborgun í banka	Deposito bancario	Deposito bancario	Bankinnbetaling	Bankstorting	Bankstorting	Bankinsättning	"Document (Finance/Cash Mgmt). Groups posted entries (e.g., payments, receipts) into a deposit for bank reconciliation; may create Bank Account Ledger Entries when posted."
Bank Reconciliation	Odsouhlasení banky	Bankafstemning	Bankabstimmung	Bankabstimmung	Bankabstimmung	Bank Reconciliation	Bank Reconciliation	Bank Reconciliation	Bank Reconciliation	Conciliación bancaria	Conciliación bancaria	Pankin täsmäytys	Rapprochement bancaire	Rapprochement bancaire	Rapprochement bancaire	Rapprochement bancaire	Bankaafstemming	Riconciliazione bancaria	Riconciliazione bancaria	Bankavstemming	Bankreconciliatie	Bankreconciliatie	Bankavstämning	"Process/workspace (Finance). Matching and adjusting between bank statement lines and bank ledger entries. Produces adjustments; not the external statement itself."
Blanket Purchase Order	Hromadná nákupní objednávka	Rammekøbsordre	Rahmenbestellung	Rahmenbestellung	Rahmenbestellung	Blanket Purchase Order	Blanket Purchase Order	Blanket Purchase Order	Blanket Purchase Order	Pedido abierto compra	Pedido abierto compra	Puiteostotilaus	Commande cadre achat	Commande cadre achat	Commande cadre achat	Commande cadre achat	Standandi innkaupapöntun	Ordine di acquisto programmato	Ordine di acquisto programmato	Rammebestilling	Inkoopraamcontract	Inkoopraamcontract	Inköpsaropsorder	"Framework purchasing agreement (Purchasing). Long-term order capturing expected multiple releases over time; releases become standard purchase orders. Not posted directly."
Blanket Sales Order	Hromadná prodejní objednávka	Rammesalgsordre	Rahmenauftrag	Rahmenauftrag	Rahmenauftrag	Blanket Sales Order	Blanket Sales Order	Blanket Sales Order	Blanket Sales Order	Pedido venta abierto	Pedido venta abierto	Puitemyyntitilaus	Commande cadre vente	Commande permanente ventes	Commande cadre vente	Commande cadre vente	Standandi sölupöntun	Ordine di vendita programmato	Ordine di vendita programmato	Rammeordre	Verkoopraamcontract	Verkoopraamcontract	Förs. avropsorder	"Framework sales agreement (Sales). Captures customer commitments for multiple future shipments; releases create sales orders. Not directly shipped/invoiced."
Cash Flow Forecast	Plán cash flow	Pengestrømsprognose	Cashflowplanung	Cashflowplanung	Cashflowplanung	Cash Flow Forecast	Cash Flow Forecast	Cash Flow Forecast	Cash Flow Forecast	Previsión de flujo de efectivo	Previsión de flujo de caja	Kassavirtaennuste	Prévision de trésorerie	Prévision de la trésorerie	Prévision de trésorerie	Prévision de trésorerie	Sjóðstreymisspá	Previsione flusso di cassa	Previsione flusso di cassa	Kontantstrømprognose	Cashflowprognose	Cashflowprognose	Kassaflödesprognos	Projection model (Finance/Cash Flow). Aggregates expected cash inflows/outflows from documents, budgets, and manual adjustments for planning liquidity.
Cash Flow Worksheet	Sešit cash flow	Pengestrømskladde	Cashflowarbeitsblatt	Cashflowarbeitsblatt	Cashflowarbeitsblatt	Cash Flow Worksheet	Cash Flow Worksheet	Cash Flow Worksheet	Cash Flow Worksheet	Hoja flujos efectivo	Hoja flujos efectivo	Kassavirtatyökirja	Feuille trésorerie	Feuille trésorerie	Feuille trésorerie	Feuille trésorerie	Vinnublað fyrir sjóðstreymi	Prospetto flusso di cassa	Prospetto flusso di cassa	Kontantstrømforslag	Cashflowvoorstel	Cashflowvoorstel	Kalkylblad för kassaflöde	"Staging worksheet (Finance/Cash Flow). Collects projected cash movements from source areas (sales, purchase, service, FA, manual) before generating Cash Flow Forecast; editable planning workspace."
Capacity Constrained Resource	Zdroj s limitovanou kapacitou	Kapacitetsbegrænset ressource	Begrenzte Kapazität	Begrenzte Kapazität	Begrenzte Kapazität	Capacity Constrained Resource	Capacity Constrained Resource	Capacity Constrained Resource	Capacity Constrained Resource	Recurso capacidad limitada	Recurso capacidad limitada	Kapasit.rajoitettu resurssi	Capacité critique	Capacité critique	Capacité critique	Capacité critique	Forði með takmarkaða getu	Risorsa critica	Risorsa critica	Kapasitetsbegrenset ressurs	Capaciteits begrensde resources	Capaciteits begrensde resources	Kap.begränsning för resurs	"Routing resource (Manufacturing). Work/Machine center flagged limited so planning splits/levels load; influences scheduling and finite capacity algorithms."
Capacity Ledger Entry	Položka kapacity	Kapacitetspost	Kapazitätsposten	Kapazitätsposten	Kapazitätsposten	Capacity Ledger Entry	Capacity Ledger Entry	Capacity Ledger Entry	Capacity Ledger Entry	Movs. capacidad	Movs. capacidad	Kapasiteettitapahtuma	Écriture comptable capacité	Écriture capacité	Écriture comptable capacité	Écriture comptable capacité	Afkastagetufærsla	Movimento contabile capacità	Movimento contabile capacità	Kapasitetspost	Capaciteitspost	Capaciteitspost	Kapacitetstrans.	Posted capacity usage record (Manufacturing). Immutable history of time (setup/run/wait) consumed by work or machine center operations for costing and analysis.
Capacity Need	Potřebná kapacita	Kapacitetsbehov	Kapazitätsbedarf	Kapazitätsbedarf	Kapazitätsbedarf	Capacity Need	Capacity Need	Capacity Need	Capacity Need	Nec. capacidad	Nec. capacidad	Kapasiteettitarve	Charge	Besoins capacité	Charge	Charge	Afkastaþörf	Capacità necessaria	Capacità necessaria	Kapasitetsbehov	Capaciteitsbehoefte	Capaciteitsbehoefte	Kapacitetsbehov	"Calculated required capacity (Manufacturing). Sum of setup + run (adjusted for scrap and lot sizing) for a production operation; used to compare against available capacity."
Chart of Accounts	Účetní osnova	Kontoplan	Kontenplan	Kontenplan	Kontenplan	Chart of Accounts	Chart of Accounts	Chart of Accounts	Chart of Accounts	Plan de cuentas	Catálogo de cuentas	Tilikartta	Plan comptable	Plan comptable	Plan comptable	Plan comptable	Bókhaldslykill	Piano dei conti	Piano dei conti	Kontoplan	Rekeningschema	Rekeningschema	Kontoplan	"Structured list (Finance). Hierarchical set of G/L Accounts used for classification and reporting; basis for posting and financial statements."
Check Ledger Entry	Položka šeku	Checkpost	Scheckposten	Scheckposten	Scheckposten	Cheque Ledger Entry	Cheque Ledger Entry	Cheque Ledger Entry	Cheque Ledger Entry	Mov. cheque	Mov. cheque	Sekkitapahtuma	Écriture comptable chèque	Écriture chèque	Écriture comptable chèque	Écriture comptable chèque	Tékkafærsla	Mov. contabili assegni	Mov. contabili assegni	Sjekkpost	Chequepost	Chequepost	Checktransaktion	"Posted check transaction (Finance). Record of issued, voided, or applied checks; links to related vendor/customer entries; immutable audit trail."
Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	Codeunit	"AL object type (Development). Encapsulates procedures/functions for business logic; no UI; referenced by events, pages, reports. Keep noun form; not translated."
Cost Allocation	Rozdělení nákladů	Omkostningsfordeling	Kostenzuteilung	Kostenumlage	Kostenzuteilung	Cost Allocation	Cost Allocation	Cost Allocation	Cost Allocation	Asignación costes	Asignación costos	Kustannusten kohdistaminen	Ventilation des coûts	Affectation des coûts	Répartition des coûts	Affectation des coûts	Kostnaðarúthlutun	Allocazione costi	Allocazione costi	Kostfordeling	Kostentoewijzing	Kostenverdeling	Kostnadsfördelning	Cost accounting setup (Cost Accounting). Defines source and target distribution rules to spread costs (e.g., overhead) across cost centers/objects.
Cost Budget	Nákladový rozpočet	Omkostningsbudget	Kostenbudget	Kostenbudget	Kostenbudget	Cost Budget	Cost Budget	Cost Budget	Cost Budget	Ppto. costes	Ppto. costos	Kustannusbudjetti	Budget des coûts	Budget des coûts	Budget des coûts	Budget des coûts	Kostnaðaráætlun	Budget costi	Budget costi	Kostbudsjett	Kostenbudget	Kostenbudget	Kostnadsbudget	"Planned cost amounts (Cost Accounting). Budgeted figures per Cost Type/Center/Object for comparison and allocations; separate from G/L budget."
Consumption Journal	Deník spotřeby	Forbrugskladde	FA-Verbrauchs Buch.-Blatt	FA-Verbrauchs Erf.-Journal	FA-Verbrauchs Buch.-Blatt	Consumption Journal	Consumption Journal	Consumption Journal	Consumption Journal	Diario de consumo	Diario de consumo	Kulutuspäiväkirja	Feuille consommation	Journal consommation	Feuille consommation	Feuille consommation	Notkunarbók	Registrazioni consumi	Registrazioni consumi	Forbrukskladd	Verbruiksdagboek	Verbruiksdagboek	Förbrukningsjournal	"Journal (Manufacturing). Staging for manual posting of component consumption against production/assembly orders; editable until posted to item/value entries."
Contract Change Log	Protokol změny smlouvy	Kontraktændringslog	Vertragsänderungsprotokoll	Vertragsänderungsprotokoll	Vertragsänderungsprotokoll	Contract Change Log	Contract Change Log	Contract Change Log	Contract Change Log	Log cambio contrato	Log cambio contrato	Sopimuksen muutosloki	Journal modification contrat	Journal modification contrat	Journal modification contrat	Journal modification contrat	Samningsbreytingaskrá	Reg. variazione contratto	Reg. variazione contratto	Kontraktendringslogg	Contractwijzigingslogbestand	Contractwijzigingslogbestand	Kontrakt förändringslogg	"Audit log (Service). Captures changes to service contract fields (pricing, coverage) for traceability; not editable."
Cue	Hromádka	Køindikator	Stapel	Stapel	Stapel	Cue	Cue	Cue	Cue	Pila	Pila	Pino	Pile	Pile	Pile	Pile	Bunki	Pila	Pila	Bunke-ikon	Indicatiestapel	Indicatiestapel	Stack-ikon	"UI element (Role Centers). Visual indicator tile showing KPIs, counts, or alerts; clickable to drill into details. Appears on Role Center pages as status summary."
Cost Center	Nákladové středisko	Omkostningssted	Kostenstelle	Kostenstelle	Kostenstelle	Cost Centre	Cost Centre	Cost Centre	Cost Centre	Centro coste	Centro costo	Kustannuspaikka	Centre de coûts	Centre de coûts	Département.	Centre de coûts	Kostnaðarstaður	Centro di costo	Centro di costo	Kostsen.	Kostenplaats	Kostenplaats	Kostnadsställe	"Dimension in Cost Accounting. Organizational responsibility area receiving allocated and direct costs; distinct from Cost Object (output focus)."
Cost Journal	Deník nákladů	Omkostningskladde	Kosten-Buch.-Blatt	Kosten-Erf.-Journal	Kosten-Buch.-Blatt	Cost Journal	Cost Journal	Cost Journal	Cost Journal	Diario costes	Diario de costos	Kustannuspäiväkirja	Feuille de coûts	Journal de coûts	Feuille de coûts	Feuille de coûts	Kostnaðarbók	Registrazione costi	Registrazione costi	Kostkladd	Kostendagboek	Kostendagboek	Kostnadsjournal	"Journal (Cost Accounting). Staging to post cost entries (allocations, corrections) into cost accounting ledger; parallels but separate from G/L journals."
Cost Object	Nositel nákladů	Omkostningsemne	Kostenträger	Kostenträger	Kostenträger	Cost Object	Cost Object	Cost Object	Cost Object	Objeto coste	Objeto costo	Kustannuskohde	Objet de coûts	Objet de coûts	Doss.	Coûts associés	Kostnaðarhlutur	Oggetto di costo	Oggetto di costo	Kostobjek.	Kostendrager	Kostenobject	Kostnadsbärare	"Dimension in Cost Accounting. Entity (product, project, activity) to which costs are ultimately assigned; contrasts with Cost Center (responsibility origin)."
Cost Type	Druh nákladu	Omkostningstype	Kostenart	Kostenart	Kostenart	Cost Type	Cost Type	Cost Type	Cost Type	Tipo coste	Tipo costo	Kustannustyyppi	Type coût	Type coût	Type coût	Type coût	Tegund kostnaðar	Tipo costo	Tipo costo	Kosttp.	Kostensoort	Kostensoort	Kostnadstyp	"Master (Cost Accounting). Classification similar to G/L Account in cost ledger; defines nature of cost for budgeting, allocation, analysis."
Customer Posting Group	Účto skupina zákazníka	Debitorbogføringsgruppe	Debitorenbuchungsgruppe	Debitorenbuchungsgruppe	Debitorenbuchungsgruppe	Customer Posting Group	Customer Posting Group	Customer Posting Group	Customer Posting Group	Grupo registro cliente	Grupo registro cliente	Asiakkaan kirjausryhmä	Groupe compta. client	Groupe de report client	Groupe compta. client	Groupe compta. client	Bókunarflokkur viðskiptavinar	Categoria registrazione cliente	Categoria registrazione cliente	Bokføringsgruppe - kunde	Klantboekingsgroep	Klantboekingsgroep	Kundbokföringsmall	"Posting group (Sales/Finance). Maps customer transactions to G/L accounts (receivables, discounts, prepayments); part of combined posting logic with Gen. Bus./Prod."
Data Exchange Definition	Definice výměny dat	Dataudvekslingsdefinition	Datenaustauschdefinition	Datenaustauschdefinition	Datenaustauschdefinition	Data Exchange Definition	Data Exchange Definition	Data Exchange Definition	Data Exchange Definition	Definición de intercambio de datos	Definición de intercambio de datos	Tiedonsiirtomääritys	Définition d'échange de données	Définition d'échange de données	Définition d'échange de données	Définition d'échange de données	Skilgreining gagnaskipta	Definizione scambio di dati	Definizione scambio di dati	Datautvekslingsdefinisjon	Definitie van gegevensuitwisseling	Definitie van gegevensuitwisseling	Dataintegrationsdefinition	"Configuration (Integration). Mapping schema to import/export structured files (XML/CSV/JSON) into staging tables; defines elements, transformations, validations."
Customer Price Group	Cenová skupina zákazníka	Debitorprisgruppe	Debitorenpreisgruppe	Debitorenpreisgruppe	Debitorenpreisgruppe	Customer Price Group	Customer Price Group	Customer Price Group	Customer Price Group	Grupo precio cliente	Grupo precio cliente	Asiakkaan hintaryhmä	Groupe prix client	Groupe prix client	Groupe prix client	Groupe prix client	Verðflokkur viðskiptamanns	Gruppo prezzi cliente	Gruppo prezzi cliente	Kundeprisgruppe	Klantenprijsgroep	Klantenprijsgroep	Kundprisgrupp	"Pricing grouping (Sales). Assigns customers to shared price/discount agreements; used in price list evaluation; distinct from Campaign or Customer Disc. Group."
Deferral Template	Šablona časového rozlišení	Periodiseringsskabelon	Abgrenzungsvorlage	Abgrenzungsvorlage	Abgrenzungsvorlage	Deferral Template	Deferral Template	Deferral Template	Deferral Template	Plantilla de fraccionamiento	Plantilla de fraccionamiento	Siirtomalli	Modèle échelonnement	Modèle échelonnement	Modèle échelonnement	Modèle échelonnement	Sniðmát frestunar	Modello differimento	Modello differimento	Mal for periodisering	Uitstelsjabloon	Uitstelsjabloon	Periodiseringsmall	Template (Finance/Revenue Recognition). Defines schedule pattern for automatic deferral of revenue/expense across periods when posting documents.
Demand Forecast	Prognóza poptávky	Behovsprognose	Bedarfsplanung	Bedarfsplanung	Bedarfsplanung	Demand Forecast	Demand Forecast	Demand Forecast	Demand Forecast	Previsión de la demanda	Previsión de la demanda	Kysyntäennuste	Prévision de la demande	Prévision de la demande	Prévision de la demande	Prévision de la demande	Eftirspurnarspá	Previsione della domanda	Previsione della domanda	Behovsprognose	Vraagprognose	Vraagprognose	Efterfrågeprognos	"Planned demand (Manufacturing/Supply). Entered or imported quantity expectations per item/date; feeds planning (MRP/MPS) distinct from orders."
Deferral Schedule	Plán časového rozlišení	Periodiseringsplan	Rechnungsabgrenzungsplan	Rechnungsabgrenzungsplan	Rechnungsabgrenzungsplan	Deferral Schedule	Deferral Schedule	Deferral Schedule	Deferral Schedule	Previsión fraccionamiento	Previsión fraccionamiento	Siirron aikataulu	Tableau d'échelonnement	Tableau d'échelonnement	Tableau d'échelonnement	Tableau d'échelonnement	Áætlun frestunar	Programmazione differimento	Programmazione differimento	Tidsplan for periodisering	Uitstelschema	Uitstelschema	Periodiseringsschema	"Generated schedule (Finance). Resulting dated entries created from a Deferral Template for a specific posted document line; controls recognition timing."
Depreciation Book	Kniha odpisů	Afskrivningsprofil	AfA-Buch	Abschreibungsbuch	AfA-Buch	Depreciation Book	Depreciation Book	Depreciation Book	Depreciation Book	Libro amortización	Libro amortización	Poistokirja	Lois d'amortissement	Registre amortissement	Lois d'amortissement	Lois d'amortissement	Afskriftabók	Registro beni ammortizzabili	Registro beni ammortizzabili	Avskrivningstablå	Afschrijvingsboek	Afschrijvingsboek	Avskrivningsregel	"Fixed asset configuration set (Fixed Assets). Holds rules and integration flags per FA (posting to G/L, tax, internal); multiple books per asset allowed."
Depreciation Method	Metoda odpisu	Afskrivningsmetode	AfA-Methode	Abschreibungsmethode	AfA-Methode	Depreciation Method	Depreciation Method	Depreciation Method	Depreciation Method	Método amortización	Método amortización	Poistotapa	Méthode amortissement	Méthode amortissement	Méthode amortissement	Méthode amortissement	Afskriftaaðferð	Metodo ammortamento	Metodo ammortamento	Avskrivningsmetode	Afschr.-methode	Afschr.-methode	Avskrivningsmetod	Rule (Fixed Assets). Algorithm (SL, DB, user-defined) determining periodic depreciation calculation for a Depreciation Book.
Dimension	Dimenze	Dimension	Dimension	Dimension	Dimension	Dimension	Dimension	Dimension	Dimension	Dimensión	Dimensión	Dimensio	Axe analytique	Dimension	Axe analytique	Axe analytique	Vídd	Dimensione	Dimensione	Dimensjon	Dimensie	Dimensie	Dimension	"Analytical attribute (Cross-module). User-defined classification (e.g., Department) applied to entries for slicing; differs from fields like Location; used in Analysis Views."
Dimension Combination	Kombinace dimenzí	Dimensionskombination	Dimensionskombination	Dimensionskombination	Dimensionskombination	Dimension Combination	Dimension Combination	Dimension Combination	Dimension Combination	Combinación dimensión	Combinación dimensión	Dimensioyhdistelmä	Croisement analytique	Croisement analytique	Croisement analytique	Croisement analytique	Tengsl vídda	Combinazione dimensioni	Combinazione dimensioni	Dimensjonskombinasjon	Dimensiecombinatie	Dimensiecombinatie	Dimensionskombination	"Validation rule (Dimensions). Permitted or blocked pairing of two dimensions to enforce data entry consistency; prevents invalid analysis combos."
Dimension Set Entry	Položka sady dimenzí	Dimensionsgruppepost	Dimensionssatzposten	Dimensionssatzposten	Dimensionssatzposten	Dimension Set Entry	Dimension Set Entry	Dimension Set Entry	Dimension Set Entry	Mov. grupo dimensiones	Mov. grupo dimensiones	Dimensioyhdistelmän tapahtuma	Écriture de l'ensemble de dimensions	Écriture de l'ensemble de dimensions	Écriture de l'ensemble de dimensions	Écriture de l'ensemble de dimensions	Færsla víddasamstæðu	Voce set di dimensioni	Voce set di dimensioni	Dimensjonssettpost	Dimensiesetpost	Dimensiesetpost	Dimensionsuppsättnings transaktion	"Component record (Dimensions). Links a single Dimension + Value to a Dimension Set; collection forms the Dimension Set."
Dimension Value	Hodnota dimenze	Dimensionsværdi	Dimensionswert	Dimensionswert	Dimensionswert	Dimension Value	Dimension Value	Dimension Value	Dimension Value	Valor dimensión	Valor dimensión	Dimensioarvo	Section analytique	Valeur de dimension	Section analytique	Section analytique	Víddargildi	Valore di dimensione	Valore di dimensione	Dimensjonsverdi	Dimensiewaarde	Dimensiewaarde	Dimensionsvärde	"Member (Dimensions). Specific value within a Dimension (e.g., DEPT=SALES); can be hierarchical; used on master data, journals, documents."
Electronic Document	Elektronický doklad	Elektronisk dokument	Elektronischer Beleg	Elektronischer Beleg	Elektronischer Beleg	Electronic Document	Electronic Document	Electronic Document	Electronic Document	Documento electrónico	Documento electrónico	Sähköinen asiakirja	Document électronique	Document électronique	Document électronique	Document électronique	Rafrænt skjal	Documento elettronico	Documento elettronico	Elektronisk dokument	Elektronisch document	Elektronisch document	Elektroniskt dokument	"Digital structured document (Sales/Purchase/Service). Electronic version (EDI/PEPPOL etc.) of business documents for transmission; supports statuses (in progress, sent). Not a printed report."
FA Depreciation Book	Kniha odpisů DM	Anlægsafskrivningsprofil	Anlagen-AfA-Buch	Anlagen-Abschreibungsbuch	Anlagen-AfA-Buch	FA Depreciation Book	FA Depreciation Book	FA Depreciation Book	FA Depreciation Book	A/F Libro amortización	A/F Libro amortización	KO:n poistokirja	Plan amortissement	Registre amortissement immo.	Plan amortissement	Plan amortissement	Eignaafskriftabók	Registro beni amm. cespiti	Registro beni amm. cespiti	Aktivaavskrivningstablå	VA-afschrijvingsboek	VA-afschrijvingsboek	Avskrivningsregel för anl.tillg.	"Obsolete alias (Fixed Assets). Legacy naming for Depreciation Book associated with fixed asset; prefer Depreciation Book description above."
Direct Cost	Přímé náklady	Købspris	Direkte Kosten	Direkte Kosten	Direkte Kosten	Direct Cost	Direct Cost	Direct Cost	Direct Cost	Coste directo	Costo directo	Välitön kustannus	Coût direct	Coût direct	Coût direct	Coût direct	Beinn kostnaður	Costo diretto	Costo diretto	Kjøpspris/prod.kost	Directe kosten	Directe kosten	Direkt kostnad	"Costing component (Inventory/Costing). Portion of item cost directly attributable (materials, purchased cost) excluding indirect/overhead; influences margin calculations."
Drop Shipment	Přímá dodávka	Direkte forsendelse	Direktlieferung	Direktlieferung	Direktlieferung	Drop Shipment	Drop Shipment	Drop Shipment	Drop Shipment	Envío directo	Envío directo	Suoratoimitus	Livraison directe	Livraison directe	Livraison directe	Livraison directe	Bein afhending	Spedizione diretta	Spedizione diretta	Direkte levering	Doorverzending	Doorverzending	Direktutleverans	"Fulfillment method (Sales/Purchase). Vendor ships directly to customer; sales order line linked to purchase order; no inventory receipt/shipment posted in between."
Entry No.	Číslo položky	Løbenr.	Lfd. Nr.	Laufnr.	Lfd. Nr.	Entry No.	Entry No.	Entry No.	Entry No.	Nº mov.	Nº mov.	Tapahtumanro	N° séquence	N° écriture	N° séquence	N° séquence	Færslunr.	Nr. movimento	Nr. movimento	Løpenr.	Volgnummer	Volgnummer	Löpnr	"System-generated sequence number (Various ledgers). Unique key identifying a posted ledger entry; immutable; used for audit linkage."
Extended Text	Rozšířený text	Udvidet tekst	Textbaustein	Zusatztext	Textbaustein	Extended Text	Extended Text	Extended Text	Extended Text	Textos adicionales	Textos adicionales	Lisäteksti	Texte étendu	Texte étendu	Texte étendu	Texte étendu	Lengdur texti	Testi Estesi	Testo esteso	Utvidet tekst	Tekstuitbreiding	Tekstuitbreiding	Extratext	"Supplemental description (Cross-module). Predefined multiline text blocks insertable onto document lines; not part of master item description."
